dataset,method,seed,stage,metric,value
mscoco,Full,9231,10,i2t_map,0.564854278637103
mscoco,Full,9231,10,i2t_old,0.5602556430234041
mscoco,Full,9231,10,t2i_map,0.5833982083887782
mscoco,Full,9231,10,t2i_old,0.5798001937412528
mscoco,UIH,2096,1,i2t_map,0.26701228679249
mscoco,UIH,2096,1,i2t_old,nan
mscoco,UIH,2096,1,t2i_map,0.2644055418950703
mscoco,UIH,2096,1,t2i_old,nan
mscoco,UIH,2096,2,i2t_map,0.2652534733036728
mscoco,UIH,2096,2,i2t_old,0.26579804086888287
mscoco,UIH,2096,2,t2i_map,0.26560010195784484
mscoco,UIH,2096,2,t2i_old,0.2628796301658327
mscoco,UIH,2096,3,i2t_map,0.26561607815460586
mscoco,UIH,2096,3,i2t_old,0.2645958270944091
mscoco,UIH,2096,3,t2i_map,0.2689626570817397
mscoco,UIH,2096,3,t2i_old,0.26231639956374625
mscoco,UIH,2096,4,i2t_map,0.2698518225009867
mscoco,UIH,2096,4,i2t_old,0.2634082475733928
mscoco,UIH,2096,4,t2i_map,0.2724783011112213
mscoco,UIH,2096,4,t2i_old,0.2673848608877831
mscoco,UIH,2096,5,i2t_map,0.2684688915640196
mscoco,UIH,2096,5,i2t_old,0.26957111689593494
mscoco,UIH,2096,5,t2i_map,0.27216593433332015
mscoco,UIH,2096,5,t2i_old,0.2731899511367721
mscoco,UIH,2096,6,i2t_map,0.27552205078991043
mscoco,UIH,2096,6,i2t_old,0.26599398431303406
mscoco,UIH,2096,6,t2i_map,0.27697632889276647
mscoco,UIH,2096,6,t2i_old,0.27027173179366343
mscoco,UIH,2096,7,i2t_map,0.27279930763903243
mscoco,UIH,2096,7,i2t_old,0.27677588838828515
mscoco,UIH,2096,7,t2i_map,0.27486703871015117
mscoco,UIH,2096,7,t2i_old,0.274867623324324
mscoco,UIH,2096,8,i2t_map,0.26858061707872444
mscoco,UIH,2096,8,i2t_old,0.27005401849531846
mscoco,UIH,2096,8,t2i_map,0.2708473419544648
mscoco,UIH,2096,8,t2i_old,0.27153793584908503
mscoco,UIH,2096,9,i2t_map,0.2677442901801473
mscoco,UIH,2096,9,i2t_old,0.2681806652104168
mscoco,UIH,2096,9,t2i_map,0.26975761483453103
mscoco,UIH,2096,9,t2i_old,0.27026443227810226
mscoco,UIH,2096,10,i2t_map,0.26494923423504996
mscoco,UIH,2096,10,i2t_old,0.2658658044188058
mscoco,UIH,2096,10,t2i_map,0.26807202907113964
mscoco,UIH,2096,10,t2i_old,0.2691016535710209
mscoco,UIH,6513,1,i2t_map,0.26681300610723896
mscoco,UIH,6513,1,i2t_old,nan
mscoco,UIH,6513,1,t2i_map,0.2644506337301657
mscoco,UIH,6513,1,t2i_old,nan
mscoco,UIH,6513,2,i2t_map,0.26398225216927695
mscoco,UIH,6513,2,i2t_old,0.2654462172123962
mscoco,UIH,6513,2,t2i_map,0.26466487131752947
mscoco,UIH,6513,2,t2i_old,0.2636869031109349
mscoco,UIH,6513,3,i2t_map,0.2657089218418987
mscoco,UIH,6513,3,i2t_old,0.26415995497412453
mscoco,UIH,6513,3,t2i_map,0.26863141072392366
mscoco,UIH,6513,3,t2i_old,0.26102307918508216
mscoco,UIH,6513,4,i2t_map,0.27242912580371825
mscoco,UIH,6513,4,i2t_old,0.26298514315976684
mscoco,UIH,6513,4,t2i_map,0.27335882776690135
mscoco,UIH,6513,4,t2i_old,0.26927921825414497
mscoco,UIH,6513,5,i2t_map,0.27009078135659587
mscoco,UIH,6513,5,i2t_old,0.2718172817241643
mscoco,UIH,6513,5,t2i_map,0.2728424530791313
mscoco,UIH,6513,5,t2i_old,0.27441031751571104
mscoco,UIH,6513,6,i2t_map,0.27529178180226294
mscoco,UIH,6513,6,i2t_old,0.26538387492279036
mscoco,UIH,6513,6,t2i_map,0.2783841405220826
mscoco,UIH,6513,6,t2i_old,0.27078815789489197
mscoco,UIH,6513,7,i2t_map,0.274332610551579
mscoco,UIH,6513,7,i2t_old,0.27748683059148627
mscoco,UIH,6513,7,t2i_map,0.2747279406699766
mscoco,UIH,6513,7,t2i_old,0.27605642995974744
mscoco,UIH,6513,8,i2t_map,0.27009567484909963
